"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","code.notes"
"5750","CF-2","CF","Esteio-Colosso","1501","1813",962,"F","8","4.8",9.8,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1816",965,"H","8","6.4",1.3,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1820",969,"H","7","4.5",1.9,2007,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1953",1401,"H","10","",NA,2007,"2x in field (200)"
"5750","CF-2","CF","Esteio-Colosso","1501","1961",1409,"H","10","3.7",2.7,2007,"2x in field (200)"
"5750","CF-2","CF","Esteio-Colosso","1501","957",65,"F","6","8.2",4.8,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","995",130,"A","9","5.9",0.4,2009,"dried (7)"
"5750","CF-2","CF","Esteio-Colosso","1501","1106",241,"E","6","1.5",7.5,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1136",275,"F","7","3.4",8.8,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1137",276,"G","9","2.8",2.2,2009,"dried (7)"
"5750","CF-2","CF","Esteio-Colosso","1501","1165",305,"C","10","4.2",9.5,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1193",334,"E","6","6.2",4.3,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1200",341,"E","6","9.8",6.6,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1301",443,"J","6","6.2",9.3,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1393",538,"G","6","9.2",2.8,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1397",542,"F","9","2.3",10,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1417",562,"J","9","5.7",1.2,2009,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1469",614,"F","6","7.4",5.7,2009,"under branchfall (90)"
