plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status
2692,5752,10-ha,EST,1202,609,A,7,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2629,5752,10-ha,EST,1202,615,A,4,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2711,5752,10-ha,EST,1202,616,A,8,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
3351,5752,10-ha,EST,1202,625,E,5,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2777,5752,10-ha,EST,1202,628,B,3,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
3032,5752,10-ha,EST,1202,638,C,7,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2779,5752,10-ha,EST,1202,641,B,3,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
3091,5752,10-ha,EST,1202,647,C,9,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2758,5752,10-ha,EST,1202,650,B,2,FF-6,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2902,5752,10-ha,EST,1202,579,C,1,FF-6,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2963,5752,10-ha,EST,1202,674,C,4,FF-6,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2837,5752,10-ha,EST,1202,706,B,5,FF-6,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
2894,5752,10-ha,EST,1202,771,B,9,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
2675,5752,10-ha,EST,1202,777,A,6,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
3007,5752,10-ha,EST,1202,801,C,5,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
3321,5752,10-ha,EST,1202,805,E,2,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
3109,5752,10-ha,EST,1202,807,D,1,FF-6,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
